# robot: unitree_r1
# sample_rate: 50.000000
# num_dofs: 26
# source_format: normalized_r1_trajectory
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_pitch_joint,dof_left_hip_roll_joint,dof_left_hip_yaw_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_pitch_joint,dof_right_hip_roll_joint,dof_right_hip_yaw_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_waist_roll_joint,dof_waist_yaw_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_shoulder_yaw_joint,dof_left_elbow_joint,dof_left_wrist_roll_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_shoulder_yaw_joint,dof_right_elbow_joint,dof_right_wrist_roll_joint,dof_head_pitch_joint,dof_head_yaw_joint
2.5600000000,0.3638170101,0.2726376955,0.2978481142,0.0752071454,-0.4007689552,-0.0053146727,-0.9130716752,-2.9317744531,-0.1603561169,0.2884304485,2.4170516825,-0.4072423335,0.3527286361,-2.9368165670,-0.0137347375,-0.3615389959,1.9469194778,0.1330663913,-0.3283769398,-0.0223614041,-0.0082353205,-1.5575616016,0.4999934747,-1.1298640084,1.3182877628,0.0029269183,-1.7908926273,-0.7423996295,0.6553644955,1.1385061700,-0.0025583166,0.0257345475,-0.0000881678
2.5800000000,0.3638303910,0.2734704194,0.3035915125,0.0803553729,-0.3984425932,-0.0078731661,-0.9136325997,-2.9268254080,-0.1818773185,0.2583471480,2.4141382454,-0.4103104620,0.3456079980,-2.9349964025,0.0163859520,-0.3321048478,1.9611888495,0.1324937454,-0.3275169744,-0.0225857928,-0.0111659577,-1.5739509652,0.5390763258,-1.1314326022,1.3065222342,0.0028960854,-1.7865196303,-0.7550323139,0.6304985056,1.1404491660,-0.0025583166,0.0254819360,-0.0000840368
2.6000000000,0.3643854507,0.2740948863,0.3111872674,0.0856913297,-0.3950336562,-0.0119920198,-0.9145827453,-2.9032061127,-0.2086537854,0.2328654826,2.4104306292,-0.4192774352,0.3336498167,-2.9290724926,0.0501862877,-0.3019275199,1.9753899611,0.1315740994,-0.3262051683,-0.0235276795,-0.0143669726,-1.5958498516,0.5847235774,-1.1318023190,1.2975289837,0.0029125004,-1.7734821165,-0.7688559860,0.5959975472,1.1486484197,-0.0025764598,0.0244720843,-0.0000830161
2.6200000000,0.3652284721,0.2753678773,0.3199773775,0.0848219558,-0.3926585139,-0.0207600538,-0.9155291079,-2.8579879106,-0.2261427568,0.2181271912,2.3929577405,-0.4434104198,0.3172647124,-2.9221740415,0.0827083559,-0.2693688766,1.9773026102,0.1300940083,-0.3243303084,-0.0316126634,-0.0204063228,-1.6212846331,0.6300258925,-1.1311097494,1.2888879245,0.0029096675,-1.7528344226,-0.7859205602,0.5600252789,1.1536552336,-0.0025312183,0.0256341854,-0.0000869809
2.6400000000,0.3659554390,0.2747706895,0.3278228924,0.0809165192,-0.3896885571,-0.0292866800,-0.9169174640,-2.8073855486,-0.2390657460,0.2138821750,2.3713984989,-0.4645623974,0.3014690264,-2.9050653296,0.1105284020,-0.2356759525,1.9747850420,0.1274341030,-0.3220451075,-0.0385939948,-0.0183779759,-1.6386420412,0.6708886684,-1.1213459728,1.2833322662,0.0029033608,-1.7226796635,-0.8048811671,0.5334398992,1.1564004707,-0.0025885927,0.0277714054,-0.0000866055
2.6600000000,0.3654984968,0.2740805940,0.3375248418,0.0761185372,-0.3854488900,-0.0382421123,-0.9187886930,-2.7497399471,-0.2523318663,0.2045199336,2.3442395758,-0.4849749452,0.2853979466,-2.8823578704,0.1336025197,-0.2063779282,1.9686451158,0.1213653667,-0.3194320670,-0.0399207568,-0.0123276609,-1.6438291748,0.7168365331,-1.1048433875,1.2696444313,0.0029521568,-1.6835370773,-0.8194775971,0.5129206250,1.1578581556,-0.0025583166,0.0283080023,0.0000559921
2.6800000000,0.3651235060,0.2734719146,0.3493228138,0.0711808690,-0.3822993912,-0.0428711275,-0.9202948038,-2.6883828743,-0.2645383035,0.1927012140,2.3058805814,-0.5075067729,0.2775134720,-2.8477099302,0.1663344774,-0.1797998427,1.9458032472,0.1102479350,-0.3173365602,-0.0402054213,-0.0027516952,-1.6421103435,0.7640508020,-1.0802821253,1.2518156544,0.0029508581,-1.6453570188,-0.8294941332,0.4965609252,1.1577063800,-0.0025593622,0.0273454453,0.0005475857
2.7000000000,0.3631053463,0.2713950212,0.3620548692,0.0651066885,-0.3808401410,-0.0457330218,-0.9212113747,-2.6321718978,-0.2734236023,0.1822992269,2.2583132352,-0.5177084380,0.2759140910,-2.8055370753,0.2040097911,-0.1551007436,1.9100402593,0.0939646927,-0.3155026560,-0.0397451775,0.0105837107,-1.6331546345,0.8129618107,-1.0595799080,1.2389609892,0.0029670417,-1.6080024920,-0.8359412245,0.4882423420,1.1564197540,-0.0025583166,0.0256646150,0.0005418737
2.7200000000,0.3607096283,0.2694916891,0.3751052243,0.0604176781,-0.3805482171,-0.0461904351,-0.9216285599,-2.5878999495,-0.2795216043,0.1699599891,2.2061311083,-0.5125225754,0.2805539124,-2.7614721788,0.2409648694,-0.1315035888,1.8671151406,0.0801016092,-0.3135127170,-0.0348367758,0.0223046628,-1.6091904448,0.8557725778,-1.0291422475,1.2305356728,0.0029519037,-1.5774149036,-0.8368450768,0.4865621317,1.1555956221,-0.0025145513,0.0238279860,0.0005549948
2.7400000000,0.3566370737,0.2663668560,0.3865452914,0.0613921142,-0.3789330393,-0.0459738769,-0.9222402955,-2.5617718700,-0.2904330947,0.1529288961,2.1734774163,-0.4790197109,0.2861472247,-2.7099259699,0.2683697373,-0.1071685259,1.8368303643,0.0644597545,-0.3131537171,-0.0183838469,0.0309456445,-1.5657079273,0.9032386704,-0.9928642404,1.2153412144,0.0028339991,-1.5508718134,-0.8356609374,0.4879540697,1.1576451932,-0.0025248417,0.0204601347,0.0005517400
