# source_robot: unitree_r1
# target_robot: robot_zky
# method: mink frame-task IK
# joint_limit_profile: hardware
# joint_limit_margin_fraction: 0.05
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_yaw_joint,dof_left_hip_roll_joint,dof_left_hip_pitch_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_yaw_joint,dof_right_hip_roll_joint,dof_right_hip_pitch_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_body_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_elbow_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_elbow_joint
0.94,0.0695978209,0.0132633903,0.181842129,0.0150043616,-0.271592068,0.129413676,0.953553731,-0.173562687,-0.287,0.3775,0.981971276,0.125242861,-0.407980462,-0.467408787,-0.720320104,-0.3775,-0.711935475,-0.477303441,0.352372847,0.107706688,-0.715367557,0.427998529,-0.0334719147,0.755357027,-0.265677242,0.33110845
0.96,0.0806062942,0.00896246417,0.180069711,0.0176123637,-0.250610012,0.124408319,0.959899472,-0.187396142,-0.287,0.3775,1.03574103,0.144682279,-0.414042625,-0.55777008,-0.818103781,-0.3775,-0.673526537,-0.503975566,0.367317047,0.110515318,-0.694373216,0.431646282,-0.0656317798,0.747016261,-0.269777597,0.325598088
0.98,0.0877389067,0.00768029934,0.178558921,0.0194165237,-0.235412548,0.118198372,0.964485913,-0.208192135,-0.287,0.3775,1.08100655,0.164322989,-0.420250159,-0.607586034,-0.847,-0.3775,-0.663334024,-0.533386565,0.379713558,0.112692734,-0.670665993,0.437291316,-0.0970393461,0.734630231,-0.275482127,0.320086724
1,0.0982486993,0.0067669402,0.176880911,0.0210187535,-0.222862632,0.112434375,0.968116197,-0.227148418,-0.287,0.3775,1.11595014,0.183892206,-0.426685371,-0.623028052,-0.847,-0.3775,-0.68421851,-0.569320691,0.387702641,0.113388096,-0.642441948,0.442021114,-0.127500874,0.720330468,-0.284666402,0.315795777
1.02,0.105766262,0.00654935385,0.175441188,0.0244715649,-0.209650929,0.107895529,0.971496879,-0.240656761,-0.287,0.3775,1.14495824,0.203699509,-0.433027907,-0.62453521,-0.847,-0.3775,-0.722949025,-0.613759893,0.392602773,0.114018327,-0.610203441,0.448661768,-0.158518496,0.701244525,-0.299048477,0.312661508
1.04,0.114436188,0.00601676448,0.173947676,0.0290011093,-0.198354949,0.10405283,0.97415977,-0.250879312,-0.287,0.3775,1.17041861,0.228882689,-0.43824411,-0.621774884,-0.847,-0.3775,-0.766953933,-0.666877564,0.396407613,0.113225824,-0.572921856,0.45717153,-0.1906917,0.682271829,-0.316981721,0.310775438
1.06,0.120905295,0.00606000529,0.172090878,0.0328095266,-0.188966255,0.101995867,0.976120962,-0.257651671,-0.287,0.3775,1.19691932,0.268639441,-0.440789606,-0.613660543,-0.847,-0.3775,-0.813408527,-0.720417828,0.402739159,0.114047791,-0.539282172,0.469982079,-0.222441045,0.667740045,-0.334551884,0.310573834
1.08,0.126823016,0.00696333456,0.170515425,0.0317276837,-0.180517936,0.100278065,0.97793197,-0.265956129,-0.287,0.3775,1.22737602,0.320646251,-0.440188025,-0.605959683,-0.847,-0.3775,-0.856291203,-0.773680099,0.412744761,0.115385523,-0.506147019,0.482463922,-0.250912689,0.657288388,-0.350164895,0.312349136
1.1,0.131330042,0.0101119829,0.167642282,0.0353610328,-0.174657339,0.0979748847,0.979104353,-0.272157375,-0.287,0.3775,1.25265929,0.38246873,-0.437077956,-0.596936237,-0.847,-0.3775,-0.898045394,-0.8265,0.427198241,0.120576738,-0.46979334,0.491221271,-0.285756941,0.65181761,-0.362181196,0.307921951
1.12,0.132028902,0.0127579448,0.170652816,0.037630823,-0.168205706,0.0939330415,0.980544413,-0.277579599,-0.287,0.3775,1.26828019,0.452752497,-0.429668511,-0.594635879,-0.847,-0.3775,-0.924105751,-0.8265,0.444100756,0.127938336,-0.437022132,0.50146028,-0.315778987,0.643869096,-0.370535625,0.307526463
1.14,0.131272098,0.0180043539,0.16906614,0.0349061397,-0.167468645,0.0901416547,0.981127054,-0.28853964,-0.287,0.3775,1.28172839,0.526379503,-0.41204761,-0.585766994,-0.847,-0.3775,-0.94813761,-0.8265,0.460971875,0.129608718,-0.397105788,0.503970736,-0.342700735,0.641358882,-0.383126465,0.310542094
1.16,0.130311648,0.0210769392,0.167190967,0.0362742122,-0.166484524,0.0895145397,0.981302314,-0.287059188,-0.287,0.3775,1.29235173,0.60223119,-0.381081599,-0.5743139,-0.847,-0.3775,-0.966064441,-0.8265,0.477969835,0.124565352,-0.346524126,0.49646368,-0.37294829,0.639002915,-0.394506801,0.312375841
1.18,0.129516959,0.026469577,0.164325886,0.035669555,-0.165137037,0.0869770281,0.981780239,-0.286938535,-0.287,0.3775,1.30544457,0.681776149,-0.338775217,-0.57415051,-0.847,-0.3775,-0.984114102,-0.8265,0.496380121,0.118262874,-0.294153863,0.490664682,-0.405860749,0.636210233,-0.404217348,0.315012463
1.2,0.127354605,0.0353288255,0.161203246,0.034353171,-0.162747139,0.081395217,0.982704456,-0.290824618,-0.287,0.3775,1.32191621,0.763005129,-0.291215866,-0.568834165,-0.847,-0.3775,-0.997341187,-0.8265,0.515401262,0.111614522,-0.24195751,0.482181246,-0.443002243,0.631608572,-0.413495886,0.317676162
1.22,0.126403158,0.0426555777,0.160252353,0.0325033605,-0.159798574,0.0776288925,0.983555643,-0.292823972,-0.287,0.3775,1.33584619,0.7915,-0.250693608,-0.561867056,-0.847,-0.3775,-1.00978261,-0.8265,0.535704728,0.102829399,-0.186671114,0.47421792,-0.48399672,0.623761321,-0.423107986,0.319904934
1.24,0.128064531,0.0476722049,0.161856451,0.0302072523,-0.156473677,0.0755541355,0.984324684,-0.291987637,-0.287,0.3775,1.34514741,0.7915,-0.215860535,-0.556100125,-0.847,-0.3775,-1.02160678,-0.8265,0.557789198,0.0932602722,-0.129335232,0.467404654,-0.527773729,0.614922402,-0.431289955,0.321517498
1.26,0.129588774,0.0519232367,0.160127829,0.0285176822,-0.155036781,0.0720283151,0.984866621,-0.295923885,-0.287,0.3775,1.35527156,0.7915,-0.185042075,-0.550307793,-0.847,-0.3775,-1.03463385,-0.8265,0.581026176,0.0869838428,-0.0742382436,0.458616396,-0.574592964,0.605713368,-0.439956973,0.321960037
1.28,0.133115829,0.058726049,0.158484715,0.0262085756,-0.15423956,0.0669242193,0.98541586,-0.300723028,-0.287,0.3775,1.36498683,0.7915,-0.155596242,-0.544589494,-0.847,-0.3775,-1.04789536,-0.8265,0.60417353,0.0803060156,-0.0187289213,0.446417913,-0.623539097,0.592501644,-0.449699044,0.321918736
1.3,0.135186059,0.0627012278,0.157377679,0.0242273195,-0.153692069,0.062442311,0.985846206,-0.304281471,-0.287,0.3775,1.37344718,0.7915,-0.126155702,-0.539730329,-0.847,-0.3775,-1.05974896,-0.8265,0.626988966,0.073861158,0.0344855391,0.434920464,-0.674117804,0.578178392,-0.462902443,0.321764817
1.32,0.13664372,0.0649277211,0.154622178,0.0224917113,-0.154391726,0.0580866247,0.986044249,-0.306404511,-0.287,0.3775,1.38182551,0.7915,-0.0966037848,-0.53516148,-0.847,-0.3775,-1.06913987,-0.8265,0.649265591,0.0689836067,0.0857104357,0.424628793,-0.724550734,0.559416265,-0.479703093,0.322158509
1.34,0.139653979,0.0709777961,0.155190783,0.0200409233,-0.155964947,0.0549785236,0.986027717,-0.305429906,-0.287,0.3775,1.38400705,0.7915,-0.0675575499,-0.528233523,-0.847,-0.3775,-1.07877459,-0.8265,0.670558179,0.0658248139,0.135954708,0.413986355,-0.774056391,0.529127787,-0.498596187,0.324210133
1.36,0.140908703,0.0733039412,0.151206498,0.0200504254,-0.158580338,0.0511440859,0.985816687,-0.303635931,-0.287,0.3775,1.38790712,0.7915,-0.0404302064,-0.52252028,-0.847,-0.3775,-1.08282144,-0.8265,0.690900406,0.0686362979,0.183910358,0.401707721,-0.822324251,0.484397337,-0.521466328,0.330031987
1.38,0.14039423,0.0774638051,0.148670621,0.0198786292,-0.161471915,0.0486540144,0.985476762,-0.298332421,-0.287,0.3775,1.38934296,0.7915,-0.0166791499,-0.516390781,-0.847,-0.3775,-1.08397322,-0.8265,0.710215574,0.0752161059,0.231154526,0.390901088,-0.86796323,0.430092387,-0.543686391,0.342273634
1.4,0.138786885,0.082333172,0.145973983,0.019864818,-0.16475312,0.0470715921,0.985010692,-0.291260249,-0.287,0.3775,1.38955695,0.7915,0.00383714358,-0.512565135,-0.847,-0.3775,-1.08412071,-0.8265,0.728184992,0.0848626988,0.279858086,0.382324564,-0.910475984,0.368244993,-0.561444594,0.361173713
1.42,0.138272552,0.0853597684,0.144343149,0.0202531895,-0.167291305,0.0465729917,0.98459859,-0.282670554,-0.287,0.3775,1.38948199,0.7915,0.0219429634,-0.509294864,-0.847,-0.3775,-1.08124157,-0.8265,0.744945748,0.0964721808,0.327916619,0.376805286,-0.950445767,0.304268799,-0.574817506,0.386798358
1.44,0.137409807,0.088663525,0.143376405,0.0206634415,-0.169508132,0.0468079657,0.98419969,-0.27338405,-0.287,0.3775,1.38825081,0.7915,0.0376468358,-0.505876671,-0.847,-0.3775,-1.0787776,-0.8265,0.760238216,0.110377846,0.37566149,0.37279871,-0.988015292,0.238223493,-0.586486334,0.418028701
