# source_robot: unitree_r1
# target_robot: robot_zky
# method: mink frame-task IK
# joint_limit_profile: hardware
# joint_limit_margin_fraction: 0.05
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_yaw_joint,dof_left_hip_roll_joint,dof_left_hip_pitch_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_yaw_joint,dof_right_hip_roll_joint,dof_right_hip_pitch_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_body_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_elbow_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_elbow_joint
0.3,-0.00635481358,-0.000437912014,0.0761562384,0.0474591592,-0.659019392,0.0618227766,0.748076877,0.00267907756,0.0354630114,0.116442446,0.000986351421,0.00270010118,-0.0225473308,0.00174724508,-0.0666904825,-0.112862309,-0.00177045126,-0.0045918365,0.0165635376,-0.00491668025,-0.372525066,0.133184239,-0.175953268,0.382026908,-0.13889555,0.179859772
0.32,-0.00605873726,-0.00091682763,0.0752026518,0.0471336754,-0.658558576,0.0636127354,0.748353151,0.00256633784,0.0333035662,0.120515212,2.32176657e-05,0.00279137518,-0.0244739937,0.00267274816,-0.0688762597,-0.115142181,-0.00025248619,-0.00494959477,0.0182390975,-0.00508291357,-0.380857422,0.135123376,-0.182400973,0.390855658,-0.141607369,0.186449595
0.34,-0.0064763479,-0.000867872824,0.0717426137,0.0475427718,-0.658166572,0.0651013373,0.748544096,0.00246092785,0.0304004059,0.124030463,-0.00108092275,0.00284938463,-0.0264026425,0.00357978451,-0.0712453249,-0.118913527,0.000482270936,-0.0052464043,0.0199001778,-0.00533973214,-0.388054977,0.136974297,-0.188429862,0.398689588,-0.144581162,0.192643176
0.36,-0.00793410705,0.000104700314,0.0712734907,0.047844157,-0.656771559,0.0659948402,0.749671086,0.00241537804,0.026710905,0.127919908,-0.00193191609,0.00287195037,-0.0283364765,0.00455217552,-0.0738937889,-0.123250491,0.000827917275,-0.00548632565,0.0215428918,-0.00557994676,-0.394238588,0.138772807,-0.194018626,0.405554993,-0.148029542,0.198462291
0.38,-0.00916194371,0.00094935111,0.070109285,0.0491297673,-0.654738162,0.0659613172,0.751367626,0.00248124561,0.0223423819,0.132690531,-0.00226131906,0.00284261808,-0.0302771691,0.00559866602,-0.0769560285,-0.128352609,0.000659071679,-0.00565493991,0.0231643761,-0.00562173084,-0.399770023,0.140603432,-0.199208581,0.411619938,-0.15226068,0.203936986
0.4,-0.0114381197,0.00252544312,0.0702483529,0.050146129,-0.65190226,0.0656850192,0.753786632,0.00268727273,0.0171052233,0.13812503,-0.00215523199,0.00276107612,-0.032228716,0.00667898865,-0.0804508543,-0.134644394,-0.000255491495,-0.00573532833,0.0247658475,-0.00558112823,-0.404802191,0.142739621,-0.203984073,0.417179551,-0.157318538,0.209078302
0.42,-0.013406918,0.00400382062,0.0715471608,0.0508931092,-0.64792367,0.0659563856,0.757135764,0.00300858302,0.0112534055,0.144455312,-0.0014951576,0.00262038438,-0.0341865884,0.00779915155,-0.0842536606,-0.141683934,-0.00171921552,-0.00573426361,0.0263486572,-0.00541700818,-0.40986236,0.14540349,-0.208438336,0.422785019,-0.163403074,0.213963135
0.44,-0.0150920741,0.00542433486,0.0721339208,0.0506989858,-0.643499937,0.0675959284,0.760768187,0.0033249716,0.00601497642,0.152333643,-2.42186612e-05,0.00242692558,-0.0361298479,0.00895003921,-0.0887376638,-0.149864265,-0.00385989298,-0.00566873046,0.0279186093,-0.0052512756,-0.415074287,0.148615894,-0.212577657,0.428770395,-0.170480894,0.218733799
0.46,-0.0159225191,0.00631323877,0.074544247,0.0497762187,-0.637794667,0.0691549537,0.765478859,0.00362805869,0.00123681972,0.161525387,0.00214686207,0.00218479341,-0.038059102,0.0100550489,-0.0934332979,-0.159297417,-0.00669186301,-0.00555141622,0.0294856431,-0.00561488546,-0.420340294,0.152247559,-0.216207689,0.43610536,-0.178726674,0.223618612
0.48,-0.0179217131,0.00828010574,0.0775389168,0.0480620981,-0.631585564,0.0710618671,0.77054521,0.00411719387,-0.00430434918,0.171788379,0.00499841745,0.00186782088,-0.0399985372,0.011041911,-0.098004554,-0.170128641,-0.0103441292,-0.00536172923,0.0310542235,-0.00645005059,-0.426032412,0.156364573,-0.219359287,0.445002489,-0.188064399,0.228562739
0.5,-0.0188453532,0.00902232949,0.089762343,0.0470537176,-0.6237147,0.0745977235,0.776660222,0.0045726865,-0.00913900439,0.183335954,0.00864749454,0.00146783049,-0.041922136,0.0120357877,-0.102897062,-0.181513578,-0.0143713631,-0.00513514015,0.0326178409,-0.00790956426,-0.432804376,0.161312039,-0.222142672,0.456370958,-0.198664222,0.233667413
0.52,-0.01865017,0.00869432115,0.0972018682,0.0454401677,-0.615082654,0.0780829904,0.783269792,0.00501356673,-0.0131375097,0.195996022,0.0130053013,0.000994196293,-0.043830107,0.0128533315,-0.107731178,-0.19440714,-0.0191863291,-0.00487286739,0.0341927332,-0.00972536439,-0.440971699,0.167119685,-0.224514795,0.469875158,-0.210032025,0.238586949
