# source_robot: unitree_r1
# target_robot: robot_zky
# method: mink frame-task IK
time,root_x,root_y,root_z,root_qx,root_qy,root_qz,root_qw,dof_left_hip_yaw_joint,dof_left_hip_roll_joint,dof_left_hip_pitch_joint,dof_left_knee_joint,dof_left_ankle_pitch_joint,dof_left_ankle_roll_joint,dof_right_hip_yaw_joint,dof_right_hip_roll_joint,dof_right_hip_pitch_joint,dof_right_knee_joint,dof_right_ankle_pitch_joint,dof_right_ankle_roll_joint,dof_body_joint,dof_left_shoulder_pitch_joint,dof_left_shoulder_roll_joint,dof_left_elbow_joint,dof_right_shoulder_pitch_joint,dof_right_shoulder_roll_joint,dof_right_elbow_joint
1.04,0.113289531,0.00555958501,0.1720752,0.0227573074,-0.0985475382,0.113067953,0.988426085,-1.29123639,-1.33295179,0.3,-0.0219729574,0.0123868114,-0.174,-1.09253099,-1.36751051,-0.3,-0.194528265,-0.57,0.174,0.0998188622,-0.479305564,0.420625885,-0.413065707,0.655789363,-0.311566296,0.353901089
1.06,0.119694706,0.0055696173,0.170067427,0.0253084589,-0.0810762071,0.111228605,0.990158739,-1.31756504,-1.37510381,0.3,-0.0469361479,0.0540339791,-0.174,-1.11749377,-1.41392381,-0.3,-0.173102944,-0.57,0.174,0.10490751,-0.443158546,0.435487545,-0.444357139,0.645292794,-0.327007707,0.354693043
1.08,0.125549556,0.00641589349,0.168353773,0.0224675558,-0.0654932997,0.109041236,0.991622834,-1.34550638,-1.41869338,0.3,-0.0695454482,0.116256057,-0.156776351,-1.13736786,-1.45273251,-0.3,-0.158904033,-0.57,0.174,0.111827915,-0.409384682,0.45027022,-0.463435193,0.638773444,-0.339465076,0.359477659
1.1,0.13000262,0.00953401793,0.165340132,0.0252497078,-0.0532699699,0.107112226,0.992497725,-1.36893692,-1.4548005,0.3,-0.0930231056,0.205250191,-0.0863673364,-1.15157874,-1.49080053,-0.3,-0.149011368,-0.57,0.174,0.122933534,-0.364612289,0.459202532,-0.49862644,0.644756007,-0.348367777,0.34568524
1.12,0.130648775,0.012156329,0.16829176,0.0262644609,-0.0441579133,0.102752467,0.993379176,-1.38967297,-1.47713629,0.3,-0.114807021,0.319381485,0.0261163768,-1.16327162,-1.50588183,-0.3,-0.148056914,-0.57,0.174,0.137004501,-0.331574932,0.472431721,-0.518014396,0.640584306,-0.353750797,0.345748335
1.14,0.129867888,0.0173758872,0.166610739,0.0228787926,-0.0396052116,0.0984559938,0.994089737,-1.41211727,-1.49946507,0.3,-0.131939137,0.441015158,0.174,-1.16593288,-1.5292949,-0.3,-0.146960394,-0.57,0.174,0.143821558,-0.290699341,0.476455943,-0.529305977,0.642174287,-0.364456355,0.353098545
1.16,0.12886571,0.0204487114,0.164686777,0.0252347039,-0.0359514896,0.0986306486,0.994154261,-1.4143925,-1.51345161,0.3,-0.141380355,0.521241458,0.174,-1.16106383,-1.54574057,-0.3,-0.146498875,-0.57,0.174,0.14205568,-0.234713465,0.469171677,-0.550291863,0.64505986,-0.373599655,0.353913855
1.18,0.128038174,0.0258075795,0.16177598,0.0247099988,-0.0322580611,0.0957667007,0.994574066,-1.4210544,-1.52993733,0.3,-0.149051669,0.57,0.174,-1.1662103,-1.55945627,-0.3,-0.153850341,-0.57,0.174,0.140886658,-0.180679938,0.467491469,-0.57070774,0.645052491,-0.380433825,0.358874353
1.2,0.125833726,0.0346514652,0.158614695,0.0240755665,-0.0276920163,0.0901695311,0.995250207,-1.43459148,-1.54818347,0.3,-0.164433478,0.57,0.174,-1.16466447,-1.57127896,-0.29785051,-0.160577304,-0.57,0.174,0.137039703,-0.12774885,0.46224781,-0.59558426,0.642073069,-0.387827296,0.363772482
1.22,0.124838297,0.0419559706,0.15763176,0.0231231586,-0.0231673818,0.0864952321,0.9957144,-1.44835649,-1.56320935,0.3,-0.186606209,0.57,0.174,-1.16762919,-1.58189683,-0.28700865,-0.171303977,-0.57,0.174,0.130537217,-0.0703989175,0.457912769,-0.624974676,0.636545105,-0.396435619,0.366172721
